"","country_name","country_code_cow","year","hog","hog_ideology","hog_ideology_num_full","hog_ideology_num_redux","hog_right","hog_left","hog_center","hog_noideo","hog_noinfo","hog_ideomiss","hog_party","hog_party_abbr","hog_party_eng","hog_party_id","hog_title","leader","leader_ideology","leader_ideology_num_full","leader_ideology_num_redux","leader_right","leader_left","leader_center","leader_noideo","leader_noinfo","leader_ideomiss","leader_party","leader_party_abbr","leader_party_eng","leader_party_id","leader_position","match_hog_leader","match_hog_hog_bls","match_leader_hog_bls","match_hog_leader_m","match_leader_leader_m","match_hog_leader_chi","match_leader_leader_chi","hog_ideology_bls","leader_ideology_m","execrlc_dpi","hog_party_lr_ord_vdem","democracy","region","Country.Code","Core CPI,seas.adj,,,","CPI Price, % y-o-y, median weighted, seas. adj.,","CPI Price, seas. adj.,,,","CPI Price,not seas.adj,,,","Exchange rate, new LCU per USD extended backward, period average,,","Exports Merchandise, Customs, constant US$, millions, not seas. adj.","Exports Merchandise, Customs, constant US$, millions, seas. adj.","Exports Merchandise, Customs, current US$, millions, not seas. adj.","Exports Merchandise, Customs, current US$, millions, seas. adj.","Exports Merchandise, Customs, Price, US$, seas. adj.","GDP,constant 2010 US$,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Imports Merchandise, Customs, constant US$, millions, not seas. adj.","Imports Merchandise, Customs, constant US$, millions, seas. adj.","Imports Merchandise, Customs, current US$, millions, not seas. adj.","Imports Merchandise, Customs, current US$, millions, seas. adj.","Imports Merchandise, Customs, Price, US$, seas. adj.","Industrial Production, constant US$, seas. adj.,,","Industrial Production, constant US$,,,","Months Import Cover of Foreign Reserves,,,,","Nominal Effective Exchange Rate,,,,","Real Effective Exchange Rate,,,,","Retail Sales Volume,Index,,,","Total Reserves,,,,","Unemployment rate,Percent,,,","CPI Price, % y-o-y, not seas. adj.,,","Exchange rate, old LCU per USD extended forward, period average,,","Official exchange rate, LCU per USD, period average,,","Core CPI,not seas.adj,,,","GDP,constant 2010 LCU,millions,seas. adj.,","GDP,current LCU,millions,seas. adj.,","Imports Merchandise, Customs, Price, US$, not seas. adj.","Exports Merchandise, Customs, Price, US$, not seas. adj.","Stock Markets, US$,,,","Stock Markets, LCU,,,"
"1","Austria",305,2000,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","rightist"," Center","yes","Western Europe and North America","AUT",NA,NA,"83.3232689211","83.8092345079","1.08500649599",NA,NA,"64120.7","64227.0685884212",NA,"347857.190590089","196276.192910483",NA,NA,"68998.8631874951","69092.7720751922",NA,"83355910950.0514","101368048085.162","0.2152472544","95.94773311235","98.31680452836",NA,"14872.0294879135","5.80379777454","2.3235693981","14.93139314966","14.93139314966",NA,"278092","212610",NA,NA,"28.07374782332","43.32974625813"
"2","Austria",305,2001,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","rightist"," Center","yes","Western Europe and North America","AUT",NA,NA,"85.52737520129","86.04698258404","1.11686107983",NA,NA,"66482.7","66605.6026356966",NA,"352327.803190125","196644.307900768",NA,NA,"70517.9057987408","70598.6651623145",NA,"86125607783.2375","104529327141.48","0.18414729826","95.79656968676","98.4632572601",NA,"13000.5534503063","6.09412552111","2.64524701051","15.36996940602","15.36996940602",NA,"281666","219556",NA,NA,"27.92258341569","44.47369303568"
"3","Austria",305,2002,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","rightist"," Center","yes","Western Europe and North America","AUT",NA,NA,"87.06723027375","87.60631834751","1.06072678607",NA,NA,"73185.9","73168.1386241367",NA,"357533.927879925","213006.804133089",NA,NA,"72900.7669969948","72871.0349481521",NA,"86834358507.8578","105554017594.217","0.13954717649","96.43788262113","99.27293908992",NA,"10168.9471746927","6.87161877977","1.80042362909","14.59731187182","14.59731187182",NA,"285828","225213",NA,NA,"30.06041939281","45.46643140705"
"4","Austria",305,2003,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","rightist"," Center","yes","Western Europe and North America","AUT",NA,NA,"88.2347020934","88.77075739166","0.88504757129",NA,NA,"89328.3","89276.1705582266",NA,"361492.934281467","260988.497354407",NA,NA,"91681.0530901621","91576.7229942782",NA,"88382851872.5883","107439884065.745","0.0982883178","100.03604563146","102.77515793006",NA,"9000.92205302244","7.01432503724","1.34088544677","12.17940691386","12.17940691386",NA,"288993","230627",NA,NA,"39.87156989624","50.08388872892"
"5","Austria",305,2004,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","rightist"," Center","yes","Western Europe and North America","AUT",NA,NA,"90.09661835749","90.63385986229","0.8047055012",NA,NA,"111769.2","111635.972871221",NA,"370404.138579914","298866.230984329",NA,NA,"113407.381985062","113202.309542777",NA,"94478354831.3376","114983349951.854","0.07416552807","101.22153212756","103.91552959377",NA,"8395.70906547138","7.06798905571","2.11018592449","11.07377317899","11.07377317899",NA,"296117","240265",NA,NA,"66.37044135551","75.97670205117"
"6","Austria",305,2005,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","rightist"," Center","yes","Western Europe and North America","AUT",NA,NA,"92.11956521739","92.68934791414","0.80459478294",NA,NA,"117632.8","117515.51691398",NA,"379367.879456202","313808.348196898",NA,NA,"119872.471744644","119706.76486877",NA,"98225894311.0596","119616258913.699","0.06119569232","100.16739690778","102.86894642318",NA,"7325.53835107052","7.27219716877","2.24530831099","11.07205124341","11.07205124341",NA,"303283","252315",NA,NA,"99.87016771564","114.93954470106"
"7","Austria",305,2006,"Wolfgang Schussel","rightist","rightist","rightist",1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","Schussel","rightist","rightist",0,1,0,0,0,0,0,"Österreichische Volkspartei","OVP","Austrian People's Party",1329,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","rightist","no data","leftist"," Center","yes","Western Europe and North America","AUT",NA,NA,"93.42793880837","94.00567031187","0.79669233336",NA,NA,"130409.5","130236.781562723",NA,"392373.184213495","334515.646733462",NA,NA,"131010.084111929","130833.40849639",NA,"105779947139.943","128217118139.335","0.05731557456","100.12013295013","102.00338402476",NA,"7498.79197900005","6.77998258336","1.4202993554","10.96327040906","10.96327040906",NA,"313680","266247",NA,NA,"133.3014943573","151.32105037738"
"8","Austria",305,2007,"Alfred Gusenbauer","leftist","leftist","leftist",0,1,0,0,0,0,"Sozialdemokratische Partei Österreichs","SPO","Social Democratic Party of Austria",1384,"Chancellor","Gusenbauer","leftist","leftist",1,0,1,0,0,0,0,"Sozialdemokratische Partei Österreichs","SPO","Social Democratic Party of Austria",1384,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","leftist","no data","leftist","Center-left","yes","Western Europe and North America","AUT",NA,NA,"95.49114331723","96.07128392062","0.73050689653",NA,NA,"157351.2","157082.81433818",NA,"406933.321500683","387179.42618858",NA,NA,"156787.585404994","156530.007131686",NA,"111813906388.821","135575267666.971","0.07146507422","101.21487518156","102.57460459811",NA,"11186.4285772468","6.21238242644","2.20833782182","10.05241029942","10.05241029942",NA,"325320","282324",NA,NA,"170.40433072109","177.29882059306"
"9","Austria",305,2008,"Werner Faymann","leftist","leftist","leftist",0,1,0,0,0,0,"Sozialdemokratische Partei Österreichs","SPO","Social Democratic Party of Austria",1384,"Chancellor","Faymann","leftist","leftist",1,0,1,0,0,0,0,"Sozialdemokratische Partei Österreichs","SPO","Social Democratic Party of Austria",1384,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","leftist","no data","leftist","Center-left","yes","Western Europe and North America","AUT",NA,NA,"98.55072463768","99.16970433374","0.68335173036",NA,NA,"173266.4","173597.707707355",NA,"412528.467040682","428807.762181873","160395.68713422","162382.022458426","176049.098187623","176281.640064625","1.08378102372","114227490088.372","139303396760.973","0.0533081657","102.11020463174","102.74373166296",NA,"9397.25087834553","5.90016390703","3.20404721754","9.40305915914","9.40305915914",NA,"329793","291602","1.09629437192",NA,"135.30615587024","129.10991745175"
"10","Austria",305,2009,"Werner Faymann","leftist","leftist","leftist",0,1,0,0,0,0,"Sozialdemokratische Partei Österreichs","SPO","Social Democratic Party of Austria",1384,"Chancellor","Faymann","leftist","leftist",1,0,1,0,0,0,0,"Sozialdemokratische Partei Österreichs","SPO","Social Democratic Party of Austria",1384,"Chancellor","yes","yes","yes","n/a","n/a","yes","yes","leftist","no data","leftist","Center-left","yes","Western Europe and North America","AUT",NA,NA,"99.0539452496","99.66585662211","0.71926203913",NA,NA,"130835.5","130667.795038152",NA,"397776.946505647","398734.502616697","140276.427588225","141917.723253282","136176.339868732","136043.611654326","0.95794450154","101266081471.071","122221588894.595","0.06327534236","103.446060594","103.59429497096",NA,"8608.2061032959","7.27730865848","0.51062091503","9.89749814841","9.89749814841",NA,"318000","286051","0.96946435578",NA,"80.66908113355","81.82318556617"
