"","Country","Year","hog_ideology","leader_ideology","match_hog_leader","democracy","region","AMA.exchange.rate","IMF.based.exchange.rate","Population","Currency","Per.capita.GNI","X.Agriculture..hunting..forestry..fishing..ISIC.A.B..","Changes.in.inventories","Construction..ISIC.F.","Exports.of.goods.and.services","Final.consumption.expenditure","General.government.final.consumption.expenditure","Gross.capital.formation","Gross.fixed.capital.formation..including.Acquisitions.less.disposals.of.valuables.","Household.consumption.expenditure..including.Non.profit.institutions.serving.households.","Imports.of.goods.and.services","Manufacturing..ISIC.D.","X.Mining..Manufacturing..Utilities..ISIC.C.E..","Other.Activities..ISIC.J.P.","Total.Value.Added","X.Transport..storage.and.communication..ISIC.I..","X.Wholesale..retail.trade..restaurants.and.hotels..ISIC.G.H..","Gross.National.Income.GNI..in.USD","Gross.Domestic.Product..GDP.","Military expenditure (% of GDP)"
"32","Albania",1990,"leftist","leftist","yes","no","Eastern Europe and Central Asia",7.563052247,7.745833397,3295066," Lek ",651,893978834,-225041418,206116285,319061329,1843435632,226760300,543166947,768208365,1616675332,482884076,428491850,863176680,123685071,2255935217,29857978,139120369,2143811317,2145751209,5.88830072
"38","Albania",1996,"rightist","rightist","no","no","Eastern Europe and Central Asia",104.4989167,104.4989167,3271331," Lek ",1000,1165012172,-224656056,227798422,400376915,3643259087,299411531,450950921,675606976,3343847556,1158531989,155433263,328096576,532941766,2993497781,114349551,625299293,3271327004,3199642024,1.379029627
"39","Albania",1997,"leftist","leftist","yes","no","Eastern Europe and Central Asia",148.9329167,148.9329167,3253719," Lek ",699,701730328,-79353240,195239489,244393485,2573613752,231948131,379550276,458903516,2341665620,867339328,101965734,207636030,400164094,2045982752,102111606,439101205,2274233647,2224654241,1.28308078
"40","Albania",1998,"leftist","leftist","yes","no","Eastern Europe and Central Asia",150.6333333,150.6333333,3232175," Lek ",814,735433728,8883353,182956419,317812211,2865071321,273803294,559126614,550243261,2591268027,1026883225,120689616,209136519,483100181,2251522121,143265871,497629404,2631658032,2554868837,1.238242561
"41","Albania",1999,"leftist","leftist","yes","no","Eastern Europe and Central Asia",137.6905833,137.6905833,3208260," Lek ",1028,835020547,24470491,276568162,584401741,3267475751,335465679,782952374,758481882,2932010072,1204030662,146019874,256181697,627139202,2876608289,198712208,682986473,3297165464,3221670165,1.249210099
"50","Albania",2008,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",83.8946041,83.8946041,2951689," Lek ",4386,2168844594,235616171,2037763005,3259293794,12040547080,1336949968,4608744943,4373128772,10703597112,6717539632,643779238,1203316881,2996891910,11167790304,1060565779,1700408136,12946373422,12881352058,1.984868857
"51","Albania",2009,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",94.97811982,94.97811982,2930541," Lek ",4045,2022753109,222689626,1801621084,3040047675,11077313842,1338043093,4162218022,3939528396,9739270749,6004538213,626006894,1138813040,2887506644,10421308345,994083408,1576531060,11852736919,12044210390,1.51721714
"52","Albania",2010,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",103.9364434,103.9364434,2913399," Lek ",4053,2141585619,224250311,1541795023,3337093931,10646796394,1330733084,3614900557,3390650246,9316063310,5792199783,650271788,1432486139,2852193299,10366763682,883524370,1515179233,11807794891,11926948284,1.558591893
"53","Albania",2011,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",100.8949547,100.8949547,2900654," Lek ",4445,2349589254,263921170,1639114158,3769489314,11508145916,1414665683,4049484804,3785563635,10093480232,6700292885,729866711,1517139921,3121961575,11210875731,963846253,1619224570,12894211994,12890873323,1.528266338
"54","Albania",2012,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",108.1846446,108.1846446,2892193," Lek ",4228,2312028282,226668277,1403089465,3565034751,10941405442,1336057425,3490014921,3263346644,9605348017,5860853444,568487378,1420420846,3079488215,10673848869,904973760,1553848302,12228015252,12319779604,1.487082577
"55","Albania",2013,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",105.6686734,105.6686734,2887014," Lek ",4502,2499701757,252068299,1314275450,3694430559,11633428651,1408648401,3584066659,3331998360,10224780250,5999410693,646455585,1632105836,3318827935,11145194748,760640552,1619643218,12996604091,12776280738,1.408982101
"56","Albania",2014,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",105.4792341,105.4792341,2884102," Lek ",4629,2644345490,200542726,1139257957,3732084593,12201629049,1514881006,3396310872,3195768146,10686748043,6243048904,704512442,1705985345,3589099093,11545800489,767259062,1699853543,13349516607,13228240079,1.346515991
"57","Albania",2015,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",125.9608304,125.9608304,2882481," Lek ",3997,2252359355,160049952,1014298531,3104918419,10453814891,1265160158,2939996712,2779946759,9188654733,5071011003,645808390,1463913332,3152856863,10000934935,686048392,1431458461,11521887903,11386924853,1.162303864
"58","Albania",2016,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",124.1408715,124.1408715,2881063," Lek ",4184,2354478397,101520738,1055969710,3437171634,10939772770,1336693554,2991887689,2890366950,9603079216,5436292088,674249335,1451747743,3285235517,10401108956,729033065,1524644525,12053991102,11861356451,1.103581009
"59","Albania",2017,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",119.0996667,119.0996667,2879355," Lek ",4533,2476629502,61978387,1189692716,4110302456,11861810894,1497060308,3261772746,3199794360,10364750586,6070377595,801776692,1460917055,3742770163,11372745852,818345368,1684391048,13051517242,13019729856,1.109151006
"60","Albania",2018,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",107.9891667,107.9891667,2877013," Lek ",5262,2793252461,7211230,1361579076,4785179295,13700540787,1710640292,3623932162,3616720933,11989900495,6856194805,929587981,1863618569,4315419562,13256495580,932498045,1990127867,15137999954,15156439968,1.160544785
"61","Albania",2019,"leftist","leftist","yes","no","Eastern Europe and Central Asia",109.8508333,109.8508333,2873883," Lek ",5289,2832292984,107704523,1316248701,4821429203,14069133416,1747642730,3544359938,3436655414,12321490685,6926959691,964192037,1857478792,4413899903,13462115740,957851512,2084343849,15200240140,15401826080,1.280805962
"62","Albania",2020,"leftist","leftist","yes","yes","Eastern Europe and Central Asia",108.65,108.65,2866849," Lek ",5190,2915069419,67953663,1361325963,3435540416,13984503733,1796557752,3510612140,3442658478,12187945981,5636282434,913668708,1666349989,4415668361,13264951509,885220818,2021316958,14880072355,15131866271,1.295835703
"63","Algeria",1990,"leftist","leftist","no","no","Middle East and North Africa",8.957508333,8.957508333,25518074," Algerian Dinar ",2339,7074612563,1987224514,6384069644,14435302932,45090281483,10055255648,17826064808,15838840295,35035025835,15572358905,7065837057,22161256038,12677585505,59146989334,2878310971,7971154612,59680067317,61751375957,1.461070586
"64","Algeria",1991,"leftist","leftist","no","no","Middle East and North Africa",18.472875,18.472875,26133905," Algerian Dinar ",1697,4774869579,2709734364,4250972214,13315922771,29638017751,6939653327,14390564486,11680830121,22698364424,10766885407,5095171687,18660901715,7753432654,43698809178,2139771717,6118861299,44361936734,46565003199,1.210834059
"65","Algeria",1992,"leftist","leftist","no","no","Middle East and North Africa",21.836075,21.836075,26748303," Algerian Dinar ",1756,5941430251,1866610977,4677997392,12167794316,33588972337,8461769988,14596640991,12730030014,25127202349,11227240829,5388304531,17898944261,10300901416,47775198763,2469413117,6486512327,46961985488,49105553595,2.14013213
"66","Algeria",1993,"leftist","leftist","no","no","Middle East and North Africa",23.34540667,23.34540667,27354327," Algerian Dinar ",1796,5673542544,468410780,5204283777,10783150460,37299867886,9475576801,14352721152,13884310371,27824291085,11559450130,5187863527,16916154428,11053197829,49329509093,2635999981,7846330534,49122087225,50846930343,2.505631577
"70","Algeria",1997,"centrist","centrist","no","no","Middle East and North Africa",57.70735,57.70735,29476031," Algerian Dinar ",1558,4249036439,124031671,4222187348,14475663745,32770992725,7968621556,11181890814,11057859143,24802371170,10333259951,3368896781,19050275292,8429559884,45593799311,2987865278,6654875071,45925279904,48068457028,3.637403468
"73","Algeria",2000,"leftist","leftist","no","no","Middle East and North Africa",75.25979167,75.25979167,30774621," Algerian Dinar ",1701,4647015416,1511629410,3880508899,22998828469,30234809059,7442975010,12840768704,11329139294,22791834049,11394592942,3276999541,25963413192,8233100410,52586032831,3471812532,6390182381,52339254367,54666896857,3.433393961
"74","Algeria",2001,"leftist","leftist","no","no","Middle East and North Africa",77.21502083,77.21502083,31200985," Algerian Dinar ",1713,5392216075,2575931627,4150841588,20040706253,32034196154,8088868309,15079491271,12503559645,23945327845,12085932126,3432252902,23312214203,9043755860,52840329051,4135573578,6805727746,53460396270,55056733057,3.820704502
"75","Algeria",2002,"leftist","leftist","no","no","Middle East and North Africa",79.6819,79.6819,31624696," Algerian Dinar ",1727,5290017205,3597477745,4642702659,20107618985,33755565805,8790389595,17544290770,13946813025,24965176210,14587148839,3452766594,23195888656,9280105318,53814987428,4329678110,7076595480,54627456617,56819210891,3.700804811
"76","Algeria",2003,"centrist","leftist","no","no","Middle East and North Africa",77.394975,77.394975,32055883," Algerian Dinar ",2040,6657818547,4243486092,5181400989,25957128354,37519515963,10046153513,20590341944,16346855852,27473362450,16203134635,3720883688,29310172915,10437659551,64523955205,5046208749,7890694454,65409201308,67863851626,3.251223274
"77","Algeria",2004,"centrist","leftist","no","no","Middle East and North Africa",72.06065,72.06065,32510186," Algerian Dinar ",2517,8055792109,7889345988,6365111102,34178426090,44655726808,11752547333,28384617680,20495271691,32903179475,21886254148,4368154143,38263754894,12250755095,81342688566,7113034455,9294240911,81817979570,85332517817,3.283895204
"78","Algeria",2005,"centrist","leftist","no","no","Middle East and North Africa",73.27630833,73.27630833,32956690," Algerian Dinar ",2992,7937297023,9583078296,6897507690,48714917293,46657770810,11816631046,32668852381,23085774085,34841139764,24843324417,4601340228,52270173806,13079457626,99055297786,8802694186,10068167455,98611135909,1.03e+11,2.834170854
"79","Algeria",2006,"leftist","leftist","no","no","Middle East and North Africa",72.64661667,72.64661667,33435080," Algerian Dinar ",3368,8827458433,8197557262,8397790830,57121819162,50249379359,13144009230,35307669066,27110111804,37105370129,25651591024,4932646838,60513130603,15117283680,1.14e+11,10051926180,11061346518,1.13e+11,1.17e+11,2.643808846
"80","Algeria",2007,"leftist","leftist","no","no","Middle East and North Africa",69.2924,69.2924,33983827," Algerian Dinar ",3921,10218617411,10993514440,10574330582,63531235749,58488702946,15716052554,46525901831,35532387390,42772650392,33568752129,5505289469,67272435054,19548902039,1.33e+11,11666226855,13628121195,1.33e+11,1.35e+11,2.923322162
"81","Algeria",2008,"centrist","leftist","no","no","Middle East and North Africa",64.5828,64.5828,34569592," Algerian Dinar ",4911,11263264104,13878422738,13470903025,82034752287,74196166781,22583573335,63866085088,49987662350,51612593446,49096310473,6330887377,86770869592,27288627730,1.69e+11,12857006363,16943268959,1.7e+11,1.71e+11,3.024746182
"82","Algeria",2009,"centrist","leftist","no","no","Middle East and North Africa",72.64741667,72.64741667,35196037," Algerian Dinar ",3866,12820127465,11855043710,13765870493,48533798747,73688577593,22153109826,64319663581,52464619871,51535467767,49331031500,6420143156,51956688687,26523520401,1.34e+11,11909776795,17491633227,1.36e+11,1.37e+11,3.848515527
"83","Algeria",2010,"centrist","leftist","no","no","Middle East and North Africa",74.38598333,74.38598333,35856344," Algerian Dinar ",4494,13648522725,8297500044,16052936944,61975420549,83097969846,27770789703,66788657989,58491157944,55327180143,50654742078,6729456789,65349335626,31840177138,1.58e+11,12552198277,18875112663,1.61e+11,1.61e+11,3.518023197
"84","Algeria",2011,"centrist","leftist","no","no","Middle East and North Africa",72.93788333,72.93788333,36543541," Algerian Dinar ",5426,16222244032,12771622337,17310164327,77581317710,1.04e+11,41338878539,76117398069,63345775732,62357632168,57376123473,7321936163,81951905204,44545528163,1.96e+11,14726883945,21666548254,1.98e+11,2e+11,4.325697443
"90","Algeria",2017,"centrist","leftist","no","no","Middle East and North Africa",110.9730167,110.9730167,41136546," Algerian Dinar ",4082,19996432166,13203602497,19080249989,38496792539,1.05e+11,32234080026,82571435609,69367833111,72397971519,55603295155,7347077916,43495006669,39077334565,1.64e+11,17779438275,24169410552,1.68e+11,1.7e+11,5.924383327
"91","Algeria",2018,"centrist","leftist","no","no","Middle East and North Africa",116.5937917,116.5937917,41927007," Algerian Dinar ",4085,20769268927,11905470953,19332975280,45233753184,1.04e+11,30185923707,82331765378,70426294425,73488065509,56328613777,7425054210,49334505385,37450492194,1.69e+11,17983844741,23778313823,1.71e+11,1.75e+11,5.483588701
"92","Algeria",2019,"leftist","leftist","no","no","Middle East and North Africa",119.3535583,119.3535583,42705368," Algerian Dinar ",3931,21189984072,10835035152,20111675207,39014337444,1.06e+11,31506392038,76759336948,65924301796,74454420330,49974211773,7542297126,43940038933,38320600273,1.65e+11,18332926396,23043301251,1.68e+11,1.72e+11,5.999941464
