"","Country","Year","hog_ideology","leader_ideology","match_hog_leader","democracy","region","IMF.based.exchange.rate","Population","Currency","Per.capita.GNI","agriculture_and_hunting_fishing_isic","Changes.in.inventories","construction_isic","Exports.of.goods.and.services","Gross.capital.formation","Imports.of.goods.and.services","mining_manifacturing_isic","transport_storage_communication_isic","wholesale_trade_restaurant_hotel_isic","Gross.National.Income.GNI..in.USD","Gross.Domestic.Product..GDP.","Military.expenditure....of.GDP.","Urban.population","Rural.population"
"1","Albania",1990,"leftist","leftist","yes","no","Eastern Europe and Central Asia",7.745833397,3295066," Lek ",651,893978834,-225041418,206116285,319061329,543166947,482884076,863176680,29857978,139120369,2143811317,2145751209,5.88830072,1197222,2089320
"2","Albania",1996,"rightist","rightist","no","no","Eastern Europe and Central Asia",104.4989167,3271331," Lek ",1000,1165012172,-224656056,227798422,400376915,450950921,1158531989,328096576,114349551,625299293,3271327004,3199642024,1.379029627,1250518,1917515
"3","Albania",1997,"leftist","leftist","yes","no","Eastern Europe and Central Asia",148.9329167,3253719," Lek ",699,701730328,-79353240,195239489,244393485,379550276,867339328,207636030,102111606,439101205,2274233647,2224654241,1.28308078,1260414,1887867
"4","Albania",1998,"leftist","leftist","yes","no","Eastern Europe and Central Asia",150.6333333,3232175," Lek ",814,735433728,8883353,182956419,317812211,559126614,1026883225,209136519,143265871,497629404,2631658032,2554868837,1.238242561,1270214,1858316
"5","Albania",1999,"leftist","leftist","yes","no","Eastern Europe and Central Asia",137.6905833,3208260," Lek ",1028,835020547,24470491,276568162,584401741,782952374,1204030662,256181697,198712208,682986473,3297165464,3221670165,1.249210099,1279853,1828925
"6","Albania",2008,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",83.8946041,2951689," Lek ",4386,2168844594,235616171,2037763005,3259293794,4608744943,6717539632,1203316881,1060565779,1700408136,12946373422,12881352058,1.984868857,1473392,1473922
"7","Albania",2009,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",94.97811982,2930541," Lek ",4045,2022753109,222689626,1801621084,3040047675,4162218022,6004538213,1138813040,994083408,1576531060,11852736919,12044210390,1.51721714,1495260,1432259
"8","Albania",2010,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",103.9364434,2913399," Lek ",4053,2141585619,224250311,1541795023,3337093931,3614900557,5792199783,1432486139,883524370,1515179233,11807794891,11926948284,1.558591893,1519519,1393502
"9","Albania",2011,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",100.8949547,2900654," Lek ",4445,2349589254,263921170,1639114158,3769489314,4049484804,6700292885,1517139921,963846253,1619224570,12894211994,12890873323,1.528266338,1546929,1358266
"10","Albania",2012,"rightist","rightist","yes","yes","Eastern Europe and Central Asia",108.1846446,2892193," Lek ",4228,2312028282,226668277,1403089465,3565034751,3490014921,5860853444,1420420846,904973760,1553848302,12228015252,12319779604,1.487082577,1575788,1324613
